Suburb,State,Postcode,Lat,Lng,Bounds_N,Bounds_E,Bounds_S,Bounds_W
Angaston,SA,5353,-34.5869221,139.3247147,-34.4305256,139.6661939,-34.7568619,139.0003773
Angle Park,SA,5010,-34.8612941,138.5637543,-34.8494144,138.5815964,-34.8757413,138.5556031
Angle Vale,SA,5117,-34.6416029,138.6539268,-34.6129929,138.6803205,-34.6616557,138.6208264
Angledool,NSW,2834,-29.2801652,147.9617144,-28.9990538,148.3597668,-29.6636751,147.6304893
Anglers Reach,NSW,2629,-36.0002232,148.7831534,-35.5626363,148.9288919,-36.1336329,148.3252141
Anglers Rest,VIC,3898,-37.022052,147.5079912,-36.8072192,147.8624128,-37.2498271,147.2345969
Anglesea,VIC,3230,-38.3850062,144.1501922,-38.3213812,144.2342542,-38.4373684,144.08715
Angourie,NSW,2464,-29.4843022,153.332874,-29.3863758,153.3727479,-29.5790971,153.2749862
Anketell,WA,6167,-32.2244737,115.8403461,-32.1803251,115.9008054,-32.2598879,115.7551309
Anna Bay,NSW,2316,-32.7647951,152.0399534,-32.7169321,152.1326242,-32.8130051,151.9459623
Annadale,SA,5356,-34.4061799,139.2435998,-34.2615539,139.4382632,-34.5028421,139.0396713
Annandale,NSW,2038,-33.8824062,151.1723645,-33.8710987,151.1773329,-33.8882816,151.1620995
Annandale,QLD,4814,-19.2878252,146.7552341,-19.2289169,146.8145144,-19.3534194,146.7105336
Annangrove,NSW,2156,-33.6530868,150.9656452,-33.5846479,151.0246956,-33.7167906,150.923007
Annerley,QLD,4103,-27.5120542,153.032997,-27.4997833,153.0434983,-27.5255197,153.0166467
Annuello,VIC,3549,-34.7552395,142.7455935,-34.5463685,142.9979908,-34.9255899,142.5184307
Anstead,QLD,4070,-27.5554476,152.8676421,-27.5094054,152.9065816,-27.6025341,152.8411785
Antechamber Bay,SA,5222,-35.775644,137.9614096,-35.7156699,138.1355913,-35.9049948,137.7446852
Antwerp,VIC,3414,-36.314886,142.0639245,-36.1711084,142.1983129,-36.4979032,141.8727159
Anula,NT,0812,-12.3786651,130.9081831,-12.3248647,130.9385627,-12.412765,130.8716159
Apamurra,SA,5237,-34.786338,139.2233389,-34.673989,139.2537448,-34.9470192,139.1154455
Apoinga,SA,5413,-34.1275602,138.9202828,-33.8516575,138.9761083,-34.1980449,138.7122647
Apollo Bay,TAS,7150,-43.3937074,147.2679116,-42.9560591,147.4332704,-43.5161667,146.999846
Apollo Bay,VIC,3233,-38.7494709,143.6285244,-38.677739,143.7399771,-38.8576939,143.4933339
Appila,SA,5480,-33.07232,138.37886,-32.9621398,138.4835717,-33.221852,138.2320653
Applecross,WA,6153,-32.0253285,115.8433037,-32.0013195,115.8614155,-32.0472764,115.820385
Applecross North,WA,6153,-32.0253285,115.8433037,-32.0013195,115.8614155,-32.0472764,115.820385
Applethorpe,QLD,4378,-28.6167522,151.9666314,-28.5883527,151.9960433,-28.6439757,151.8764137
Apsley,VIC,3319,-36.8910613,141.0540674,-36.7792809,141.2569682,-37.0784274,140.9690072
Arakoon,NSW,2431,-30.9186021,153.0500809,-30.872324,153.0903863,-30.9615226,153.0084179
Araluen,NT,0870,-23.7018903,133.8768733,-23.6602461,133.9149521,-23.7761029,133.7259758
Aramac,QLD,4726,-22.9708603,145.242794,-21.6582539,146.1219714,-23.4883436,143.58319
Aramara,QLD,4620,-25.6207597,152.3095833,-25.4013539,152.5295233,-25.8864282,152.0284556
Arana Hills,QLD,4054,-27.4119662,152.9549828,-27.3805047,152.9672951,-27.4283307,152.9343856
Aranda,ACT,2614,-35.2516136,149.0525253,-35.2278247,149.0895142,-35.2674251,149.0279533
Arapiles,VIC,3409,-36.8127092,141.8100218,-36.5542949,142.0254159,-37.121001,141.4599098
Aratula,NSW,2714,-35.7249968,145.3585972,-35.6031234,145.6845702,-35.8754906,145.1970835
Arawata,VIC,3951,-38.5195374,145.7356129,-38.3492101,145.9450023,-38.5776598,145.6738366
Arcadia,NSW,2159,-33.5876386,151.0704263,-33.5127207,151.1513494,-33.6735403,151.0266378
Arcadia,QLD,4819,-19.1547801,146.8451379,-19.102614,146.8836895,-19.1818504,146.7792427
Arcadia,VIC,3631,-36.4324574,145.4693163,-36.2953091,145.6992588,-36.62744,145.2976848
Arcadia South,VIC,3631,-36.4324574,145.4693163,-36.2953091,145.6992588,-36.62744,145.2976848
Archdale,VIC,3475,-36.6942531,143.5202874,-36.5545409,143.640304,-36.9180719,143.370013
Archdale Junction,VIC,3475,-36.6942531,143.5202874,-36.5545409,143.640304,-36.9180719,143.370013
Archer,NT,0830,-12.3860487,131.0192349,-12.275474,131.1420818,-12.5414279,130.9303061
Archerfield,QLD,4108,-27.5658223,153.0206446,-27.5569877,153.0521728,-27.5777922,152.9934772
Archies Creek,VIC,3995,-38.6238593,145.6023644,-38.4739225,145.7340101,-38.68107,145.4284972
Arcoona,SA,5720,-30.0410068,136.670534,-28.792827,137.729348,-31.4294969,135.1956424
Ardath,WA,6419,-32.0448614,118.1356748,-31.9686908,118.2680537,-32.1251483,117.9600181
Ardeer,VIC,3022,-37.7776716,144.7988921,-37.7672418,144.815355,-37.7841229,144.7913619
Ardglen,NSW,2338,-31.7295314,151.0005643,-31.4889456,151.1852679,-31.8877596,150.7128786
Arding,NSW,2358,-30.5621734,151.373521,-30.3068007,151.7745254,-30.8755894,150.9975053
Ardlethan,NSW,2665,-34.3566955,146.8311117,-33.959318,147.3876198,-34.5830874,146.1510276
Ardmona,VIC,3629,-36.2976747,145.2922335,-36.1570598,145.3829579,-36.445798,145.1500888
Ardross,WA,6153,-32.0253285,115.8433037,-32.0013195,115.8614155,-32.0472764,115.820385
Ardrossan,SA,5571,-34.3615548,137.8822604,-34.2915518,137.9738061,-34.6276066,137.698475
Areegra,VIC,3480,-36.3286415,142.9170407,-36.1058845,143.2072699,-36.5628149,142.631545
Argenton,NSW,2284,-32.9524472,151.6187438,-32.9275049,151.6425031,-32.990585,151.5748642
Argents Hill,NSW,2449,-30.6133236,152.6853649,-30.5081056,152.9163065,-30.7513423,152.4878066
Argoon,NSW,2707,-34.8075597,145.7578403,-34.5467352,146.2113154,-35.0579203,145.4836847
Argyle,VIC,3523,-36.8919051,144.7412036,-36.7057026,144.9321538,-37.0477715,144.5239574
Argyle,WA,6239,-33.6142021,115.8758354,-33.4417132,116.1082705,-33.7455161,115.7157954
Argyll,QLD,4721,-22.8318768,147.6290138,-21.5422004,148.2939164,-23.526065,146.0308151
Ariah Park,NSW,2665,-34.3566955,146.8311117,-33.959318,147.3876198,-34.5830874,146.1510276
Arkaroola Village,SA,5701,-32.5751942,137.9812152,-30.3066747,139.3454787,-32.6416278,134.5070776
Armadale,VIC,3143,-37.857253,145.0190242,-37.8492828,145.0299334,-37.8660865,145.0089353
Armadale,WA,6112,-32.1670352,116.005922,-32.100236,116.133873,-32.2126187,115.8969888
Armatree,NSW,2828,-31.2107509,148.8289611,-31.0185946,149.067239,-31.564463,147.9983724
Armstrong Beach,QLD,4737,-21.4226027,149.2167555,-21.3185643,149.3368978,-21.6468675,148.9021963
Armstrong Creek,QLD,4520,-27.37121,152.8676186,-27.1893725,152.9310641,-27.4610026,152.7421677
Armstrong Creek,VIC,3217,-38.2617284,144.3248554,-38.1854728,144.4188808,-38.3108053,144.2001884
Arncliffe,NSW,2205,-33.9378099,151.1490585,-33.9262793,151.1612203,-33.9468887,151.1297021
Arndell Park,NSW,2148,-33.7849921,150.9016476,-33.7351903,150.9307462,-33.8340601,150.870185
Arno Bay,SA,5603,-33.8733858,136.2474381,-33.7265133,136.6709364,-33.9940147,135.7771672
Aroona,QLD,4551,-26.7977396,153.1359352,-26.7393413,153.1507971,-26.8533422,153.0279064
Arrawarra,NSW,2456,-30.0520062,153.1325243,-29.9550026,153.234373,-30.1812046,153.0722397
Arrawarra Headland,NSW,2456,-30.0520062,153.1325243,-29.9550026,153.234373,-30.1812046,153.0722397
Arriga,QLD,4880,-16.9941129,145.3585972,-16.7595128,145.6396994,-17.1983156,145.0583745
Arrino,WA,6519,-29.4887099,115.5681084,-29.2881416,116.0181505,-29.7396638,115.2451283
Arrowsmith East,WA,6519,-29.4887099,115.5681084,-29.2881416,116.0181505,-29.7396638,115.2451283
Artarmon,NSW,2064,-33.8086312,151.1840188,-33.8014475,151.1944875,-33.8224816,151.1754191
Arthur River,WA,6315,-33.3563263,117.2676116,-33.0318366,117.8407231,-33.5178763,116.9002803
Arthurs Creek,VIC,3099,-37.5885255,145.2148736,-37.5083015,145.3100449,-37.6582539,145.1520099
Arthurs Seat,VIC,3936,-38.3352183,144.9942305,-38.3021201,145.0646621,-38.3798301,144.9372492
Arthurton,SA,5572,-34.2284298,137.7834888,-34.1868243,137.8726647,-34.2763365,137.6806877
Arthurville,NSW,2820,-32.5743502,149.0123679,-32.1673352,149.2646353,-32.9017554,148.6669925
Arumbera,NT,0873,-23.7783845,133.8482142,-23.724572,133.9404529,-23.8315332,133.7412371
Arumpo,NSW,2715,-33.7309634,143.2180495,-33.140481,143.9857842,-35.0395041,142.3255255
Arundel,QLD,4214,-27.9623616,153.3623524,-27.9188409,153.4010977,-28.000192,153.3377419
Ascot,QLD,4007,-27.4366918,153.0648006,-27.4229795,153.0900045,-27.4477355,153.0468864
Ascot,QLD,4359,-27.78646,151.9066549,-27.7231422,152.1897424,-27.8666075,151.8387662
Ascot,WA,6104,-31.9456987,115.9290605,-31.9204094,115.9580703,-31.9628845,115.9087756
Ascot Park,SA,5043,-34.9944528,138.5537441,-34.9715466,138.5674547,-35.0176186,138.5377491
Ascot Vale,VIC,3032,-37.7773364,144.9006313,-37.7558247,144.9403578,-37.7896623,144.8705771
Ashbourne,SA,5157,-35.0700533,138.6589406,-35.0338078,138.8157666,-35.3500425,138.5856239
Ashbourne,VIC,3442,-37.3324774,144.5437205,-37.2363959,144.6947996,-37.4598981,144.4247633
Ashburton,VIC,3147,-37.8675054,145.0906914,-37.8566424,145.1129958,-37.8759982,145.0615658
Ashburton,WA,6710,-21.9162671,115.094045,-20.5816163,116.3446448,-23.4523657,114.3039539
Ashbury,NSW,2193,-33.909932,151.1199309,-33.8955206,151.1349917,-33.9233776,151.1082281
Ashby,NSW,2463,-29.6112567,153.2739287,-29.2417928,153.3428807,-29.7019759,153.0600792
Ashby,WA,6065,-31.763241,115.816684,-31.7080221,115.8772396,-31.8211109,115.7737392
Ashby Heights,NSW,2463,-29.6112567,153.2739287,-29.2417928,153.3428807,-29.7019759,153.0600792
Ashcroft,NSW,2168,-33.9117729,150.8783824,-33.8943863,150.9077494,-33.9278929,150.848468
Ashendon,WA,6111,-32.1384821,116.1832068,-32.0274174,116.3576369,-32.2875972,115.9630031
Ashfield,NSW,2131,-33.8909735,151.125756,-33.8741901,151.1388149,-33.904777,151.1160728
Ashfield,WA,6054,-31.9007183,115.9408868,-31.875516,115.9644057,-31.9246067,115.9259135
Ashford,NSW,2361,-29.2477204,151.1869325,-28.8785927,151.3819608,-29.5664018,150.9111941
Ashford,SA,5035,-34.9511792,138.5762695,-34.9301906,138.5864092,-34.9672698,138.5710952
Ashgrove,QLD,4060,-27.4412376,152.9823835,-27.4309253,153.0064817,-27.4550595,152.9623764
Ashley,NSW,2400,-29.4491211,149.7487272,-28.7833263,150.3558777,-29.9344188,148.8884759
Ashmore,QLD,4214,-27.9623616,153.3623524,-27.9188409,153.4010977,-28.000192,153.3377419
Ashton,SA,5137,-34.9358196,138.7442455,-34.9165094,138.7641793,-34.9537115,138.7102095
Ashtonfield,NSW,2323,-32.9103365,151.4902483,-32.7191499,151.6263685,-33.0153192,151.4204837
Ashville,SA,5259,-35.5041395,139.4059435,-35.1243785,139.6199299,-35.7345458,138.9737121
Ashwood,VIC,3147,-37.8675054,145.0906914,-37.8566424,145.1129958,-37.8759982,145.0615658
Aspendale,VIC,3195,-38.0005492,145.1044805,-37.9821849,145.1446926,-38.0349013,145.0688217
Aspendale Gardens,VIC,3195,-38.0005492,145.1044805,-37.9821849,145.1446926,-38.0349013,145.0688217
Aspley,QLD,4034,-27.3645676,153.0441933,-27.3283044,153.0930267,-27.3833577,153.0010692
Asquith,NSW,2077,-33.6924088,151.0995447,-33.6250665,151.1379728,-33.7163903,151.0794624
Athelstone,SA,5076,-34.873423,138.7040858,-34.8570505,138.7861792,-34.8869566,138.6911346
Atherton,QLD,4883,-17.2661339,145.4858493,-17.2140855,145.5882454,-17.4646761,145.4164934
Athlone,VIC,3818,-38.1155251,145.8690603,-37.9731226,145.9412411,-38.2823538,145.7222112
Athol Park,SA,5012,-34.8621629,138.5437358,-34.8501677,138.5571091,-34.8752256,138.5329788
Atholwood,NSW,2361,-29.2477204,151.1869325,-28.8785927,151.3819608,-29.5664018,150.9111941
Atkinsons Dam,QLD,4311,-27.4025873,152.4269361,-27.3200084,152.6101107,-27.5707367,152.1908333
Attadale,WA,6156,-32.0396369,115.8018941,-32.0139116,115.8159475,-32.0566808,115.7927146
Attunga,NSW,2345,-30.9158156,150.8376769,-30.8223479,150.974905,-30.9691396,150.6992994
